appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,label
70300,VVVVVV,2010-09-07,1,Terry Cavanagh,Terry Cavanagh,windows;mac;linux,0,Single-player;Full controller support,Action;Indie,Platformer;Indie;Great Soundtrack,19,6719,268,76,74,1000000-2000000,3.99,0
70400,Recettear: An Item Shop's Tale,2010-09-10,1,EasyGameStation,Carpe Fulgur LLC,windows,0,Single-player;Partial Controller Support,RPG;Indie,Capitalism;Anime;RPG,0,5047,183,764,1136,200000-500000,12.99,0
70420,Chantelise - A Tale of Two Sisters,2011-07-29,1,EasyGameStation,Carpe Fulgur LLC,windows,0,Single-player;Partial Controller Support,Action;RPG;Indie,Anime;Action;RPG,0,440,148,53,53,100000-200000,6.49,0
70500,Diamond Dan,2010-10-08,1,Grendel Games,Grendel Games,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie,Indie;Casual;Action,65,33,11,0,0,20000-50000,0.79,0
70900,Star Ruler,2010-09-20,1,Blind Mind Studios,Blind Mind Studios,windows,0,Single-player;Multi-player,Indie;Strategy,Strategy;Space;Indie,0,229,44,5,5,100000-200000,7.19,0
71000,Evochron Mercenary,2012-01-16,1,StarWraith 3D Games LLC,StarWraith 3D Games LLC,windows,0,Single-player;Multi-player;Co-op;Steam Trading Cards,Action;Indie;Simulation,Space;Simulation;Indie,0,322,85,0,0,50000-100000,14.99,0
72000,Closure,2012-09-07,1,Eyebrow Interactive,Eyebrow Interactive,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Commentary available,Indie,Puzzle;Platformer;Indie,8,680,107,72,100,200000-500000,6.99,0
72400,Clones,2010-11-18,1,Tomkorp Computer Solutions Inc.,Tomkorp Computer Solutions Inc.,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Adventure;Indie,Lemmings;Indie;Adventure,64,245,80,210,220,100000-200000,0.79,0
72900,Winter Voices,2010-10-29,1,Clara Lehenaff,Clara Lehenaff,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;RPG,RPG;Indie;Adventure,64,139,77,0,0,50000-100000,0.0,0
80000,APOX,2011-01-20,1,BlueGiant Interactive,BlueGiant Interactive,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Stats;Steam Leaderboards,Action;Indie;Strategy,Strategy;Action;Indie,47,46,113,104,104,20000-50000,11.99,0
80200,Fate of the World,2011-02-28,1,Red Redemption,Red Redemption,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Casual;Indie;Simulation;Strategy,Strategy;Simulation;Turn-Based,32,267,80,123,123,50000-100000,6.99,0
80300,Puzzle Bots,2010-10-22,1,Ivy Games,Wadjet Eye Games,windows,0,Single-player,Adventure;Indie,Adventure;Indie;Puzzle,0,109,38,0,0,50000-100000,3.49,0
80310,Gemini Rue,2011-10-26,1,Joshua Neurnberger,Wadjet Eye Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Point & Click;Adventure;Sci-fi,15,1199,128,97,97,200000-500000,6.99,0
80330,The Blackwell Legacy,2012-01-13,1,Wadjet Eye Games,Wadjet Eye Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Point & Click;Adventure;Indie,8,848,107,0,0,100000-200000,3.99,0
80340,Blackwell Unbound,2012-01-13,1,Wadjet Eye Games,Wadjet Eye Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Indie,10,364,27,0,0,100000-200000,3.99,0
80350,Blackwell Convergence,2012-01-13,1,Wadjet Eye Games,Wadjet Eye Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Point & Click;Adventure;Indie,12,298,14,0,0,100000-200000,3.99,0
