appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,label
116100,Super Toy Cars,2014-06-06,1,Eclipse Games,Eclipse Games,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Indie;Racing,Racing;Indie;Multiplayer,26,201,132,0,0,20000-50000,6.99,0
200130,Puzzler World 2,2011-10-24,1,Ideas Pad,Puzzler,windows,0,Single-player,Casual;Indie;Strategy,Casual;Indie;Strategy,17,150,44,61,61,20000-50000,4.99,0
200190,Sideway™ New York,2011-11-15,1,Playbrains;Fuel Entertainment,Playbrains,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Adventure;Indie,Adventure;Indie;Platformer,10,68,40,0,0,50000-100000,6.99,0
200210,Realm of the Mad God,2012-02-20,1,Wild Shadow Studios;Deca Games,Deca Games,windows;mac,0,Multi-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;Stats,Action;Free to Play;Indie;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;Pixel Graphics,31,23414,4728,3531,64,2000000-5000000,0.0,0
200390,Oil Rush,2012-01-25,1,Unigine Corp.,Unigine Corp.,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Indie;Strategy,Strategy;Indie;RTS,40,173,170,9,9,200000-500000,5.59,0
200410,SOL: Exodus,2012-01-25,1,Bit Planet Games, LLC,Bit Planet Games, LLC,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Simulation,Indie;Action;Simulation,53,45,47,0,0,50000-100000,5.59,0
200710,Torchlight II,2012-09-20,1,Runic Games,Runic Games,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Action;Adventure;Indie;RPG,RPG;Action RPG;Hack and Slash,119,29539,1757,1037,508,2000000-5000000,14.99,0
200900,Cave Story+,2011-11-22,1,Nicalis, Inc.;Studio Pixel,Nicalis, Inc.,windows;linux,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Platformer;Metroidvania;Indie,75,5120,230,150,152,500000-1000000,10.99,0
200960,Geneforge 1,2001-12-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,268,17,0,0,100000-200000,0.0,0
200980,Geneforge 2,2003-07-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,32,3,0,0,50000-100000,0.0,0
200990,Geneforge 3,2005-04-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,26,4,0,0,50000-100000,0.0,0
201000,Geneforge 4: Rebellion,2006-11-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,24,2,0,0,50000-100000,0.0,0
201010,Geneforge 5: Overthrow,2008-11-01,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,Strategy;RPG;Indie,RPG;Indie;Strategy,0,60,6,0,0,100000-200000,0.0,0
201070,Revelations 2012,2012-04-23,1,Dark Artz Entertainment,Dark Artz Entertainment,windows,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats,Action;Indie;Strategy,Action;Indie;Strategy,47,188,133,8,8,20000-50000,0.0,0
201420,Toki Tori 2+,2013-07-11,1,Two Tribes,Two Tribes,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Adventure;Casual;Indie,Indie;Puzzle;Casual,38,671,130,109,149,200000-500000,10.99,0
201480,Serious Sam: The Random Encounter,2011-10-24,1,Vlambeer;Croteam,Devolver Digital,windows,0,Single-player,Action;Indie;RPG,Action;Indie;RPG,0,330,310,18,18,500000-1000000,3.99,0
201570,Really Big Sky,2012-02-24,1,Boss Baddie,Ripstone,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Indie;Action;Shoot 'Em Up,20,1429,462,247,281,500000-1000000,3.99,0
201790,Orcs Must Die! 2,2012-07-30,1,Robot Entertainment,Robot Entertainment,windows,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Tower Defense;Co-op;Action,27,13321,682,429,244,2000000-5000000,11.99,0
202200,Galactic Civilizations® II: Ultimate Edition,2011-12-02,1,Stardock Entertainment,Stardock Entertainment,windows,0,Single-player,Indie;Strategy,Strategy;4X;Space,0,894,300,13,17,500000-1000000,14.99,0
202410,Scoregasm,2012-02-08,1,RC Knight,Charlie's Games,windows;mac,0,Single-player;Steam Achievements;Stats,Action;Indie,Action;Indie;Twin Stick Shooter,19,107,22,17,17,50000-100000,3.99,0
202690,Hegemony Gold: Wars of Ancient Greece,2012-03-30,1,Longbow Games,Longbow Games,windows,0,Single-player;Steam Cloud,Indie;Strategy,Strategy;Indie;Historical,0,117,4,5,5,20000-50000,10.99,0
202730,Dynamite Jack,2012-05-10,1,Hassey Enterprises, Inc.,Hassey Enterprises, Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Includes level editor,Action;Adventure;Indie,Action;Indie;Adventure,13,345,56,9,9,100000-200000,7.19,0
203210,Titan Attacks!,2012-02-03,1,Puppygames,Puppygames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Indie;Arcade;Action,47,790,79,189,189,100000-200000,7.19,0
203510,Fortune Summoners,2012-01-30,1,Lizsoft,Carpe Fulgur LLC,windows,0,Single-player,Action;Indie;RPG,Anime;RPG;Indie,0,581,93,27,27,100000-200000,12.99,0
203560,Containment: The Zombie Puzzler,2012-03-02,1,Bootsnake Games,Bootsnake Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Indie,Casual;Indie;Puzzle,25,203,47,0,0,50000-100000,3.99,0
203830,The Dark Eye: Chains of Satinav,2012-06-22,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Fantasy,36,1279,199,290,566,200000-500000,26.99,0
203990,SATAZIUS,2011-12-16,1,ASTRO PORT,Nyu Media,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Shoot 'Em Up;Indie;Action,40,211,24,87,124,50000-100000,4.79,0
204060,Superbrothers: Sword & Sworcery EP,2012-04-16,1,Capybara;Superbrothers;Jim Guthrie,Capybara Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie,Adventure;Indie;Pixel Graphics,14,1764,489,73,65,500000-1000000,4.99,0
204180,Waveform,2012-03-20,1,Eden Industries,Eden Industries,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Adventure;Indie;Strategy,Indie;Puzzle;Great Soundtrack,65,1778,345,125,160,500000-1000000,0.79,0
204220,Snapshot,2012-08-30,1,Retro Affect,Retro Affect,windows;mac;linux,0,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual,36,161,61,89,89,200000-500000,6.99,0
204240,The Bridge,2013-02-22,1,Ty Taylor and Mario Castañeda;The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Puzzle;Indie;Casual,20,2950,374,129,123,500000-1000000,6.99,0
204300,Awesomenauts - the 2D moba,2012-08-01,1,Ronimo Games,Ronimo Games,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards;Includes level editor,Action;Free to Play;Indie;Strategy,MOBA;Multiplayer;Platformer,59,20770,3678,999,490,2000000-5000000,0.0,0
204340,Serious Sam 2,2012-01-31,1,Croteam,Devolver Digital,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support;Includes level editor,Action;Indie,Action;FPS;Co-op,0,5353,702,233,305,500000-1000000,6.99,0
204360,Castle Crashers®,2012-09-26,1,The Behemoth,The Behemoth,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie;RPG,Co-op;Action;Adventure,12,50273,2063,1094,306,2000000-5000000,9.99,0
204390,Pineapple Smash Crew ,2012-02-02,1,RichMakeGame,RichMakeGame,windows,0,Single-player,Action;Indie,Indie;Action;Rogue-like,0,94,20,0,0,20000-50000,6.99,0
204530,Infested Planet,2014-03-06,1,Rocket Bear Games,Rocket Bear Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Strategy;Action;Tower Defense,36,1954,127,2974,2974,200000-500000,11.39,0
204630,Retro City Rampage™ DX,2014-11-11,1,Vblank Entertainment, Inc.,Vblank Entertainment, Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;Racing,Action;Open World;Retro,20,2005,243,540,629,200000-500000,10.99,0
204880,Sins of a Solar Empire: Rebellion®,2012-06-12,1,Ironclad Games;Stardock Entertainment,Stardock Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Includes level editor,Indie;Strategy,Strategy;Space;RTS,68,8642,712,507,393,2000000-5000000,30.99,0
204960,Magical Drop V,2012-11-15,1,Golgoth Studio,UTV Ignition Entertainment,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie,Puzzle;Indie;Casual,23,218,192,182,182,20000-50000,0.79,0
205020,Lumino City,2014-12-02,1,State of Play Games,State of Play Games ,windows;mac,0,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual,0,928,117,29,29,200000-500000,8.99,0
205060,BIT.TRIP CORE,2012-10-02,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Partial Controller Support,Action;Indie,Indie;Action;Rhythm,21,70,51,0,0,50000-100000,6.99,0
205070,BIT.TRIP VOID,2012-12-19,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Full controller support;Steam Cloud,Action;Indie,Indie;Action;Music,19,58,19,0,0,20000-50000,6.99,0
205080,BIT.TRIP FATE,2013-07-11,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie;Music,20,68,41,0,0,20000-50000,6.99,0
205090,BIT.TRIP FLUX,2014-06-05,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,20,71,62,0,0,20000-50000,6.99,0
205530,Gratuitous Tank Battles,2012-05-17,1,Positech Games,Positech Games,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Indie;Simulation;Strategy,Strategy;Indie;Simulation,24,48,43,0,0,50000-100000,6.99,0
205550,Foreign Legion: Multi Massacre,2012-07-09,1,Sakari Indie & GriN,Sakari Games,windows;mac,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud,Action;Indie;Casual,Action;Indie;Casual,43,200,108,26,26,50000-100000,4.79,0
205690,1000 Amps,2012-02-22,1,Brandon Brizzi,Brandon Brizzi,windows;mac,0,Single-player,Adventure;Indie,Indie;Platformer;Puzzle,10,229,62,0,0,20000-50000,3.99,0
205730,Insanely Twisted Shadow Planet,2012-04-17,1,Shadow Planet Productions,Microsoft Studios,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure;Indie,Metroidvania;Adventure;Indie,17,547,83,275,275,200000-500000,11.99,0
205830,Luxor Evolved,2012-03-01,1,MumboJumbo,MumboJumbo,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie;Casual,Casual;Action;Indie,33,196,18,94,94,50000-100000,6.99,0
205870,Auditorium,2012-02-28,1,Cipher Prime Studios,Cipher Prime Studios,windows;mac,0,Single-player,Indie;Casual,Indie;Casual;Music,0,202,46,0,0,50000-100000,4.99,0
205910,Tiny and Big: Grandpa's Leftovers,2012-06-19,1,Black Pants Studio,Black Pants Studio,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Indie,Indie;Physics;Platformer,53,3483,309,207,197,500000-1000000,6.99,0
206020,Avernum 4,2012-05-11,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,RPG;Indie,RPG;Indie;Isometric,0,55,10,0,0,50000-100000,0.0,0
206040,Avernum 5,2012-05-11,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,RPG;Indie,RPG;Indie;Isometric,0,17,4,0,0,50000-100000,3.99,0
206060,Avernum 6,2012-05-11,1,Spiderweb Software,Spiderweb Software,windows,0,Single-player,RPG;Indie,RPG;Indie;Isometric,0,36,2,0,0,50000-100000,3.99,0
206190,Gunpoint,2013-06-03,1,Suspicious Developments,Suspicious Developments,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Includes level editor,Action;Indie;Strategy,Stealth;Puzzle;Indie,42,10384,271,212,242,500000-1000000,6.0,0
206250,Cladun X2 / クラシックダンジョンX2,2012-08-14,1,System Prisma,NIS America, Inc.,windows,0,Single-player,Action;Indie;RPG,RPG;Action;Indie,0,78,27,541,541,20000-50000,6.99,0
206370,Tales From Space: Mutant Blobs Attack,2012-08-15,1,DrinkBox Studios,DrinkBox Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Platformer;Action,14,544,57,183,183,100000-200000,7.19,0
206440,To the Moon,2012-09-07,1,Freebird Games,Freebird Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,Story Rich;Great Soundtrack;Indie,1,42115,1423,200,233,1000000-2000000,6.99,0
206500,AirMech Strike,2018-03-30,1,Carbon Games,Carbon Games,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Stats;Steam Leaderboards,Action;Free to Play;Indie;Strategy,Free to Play;Strategy;Multiplayer,91,7640,1440,441,172,1000000-2000000,0.0,0
206610,3SwitcheD,2012-03-29,1,Reality Pump,Topware Interactive,windows;mac,0,Single-player;Steam Trading Cards;Steam Cloud,Casual;Indie,Casual;Indie;Match 3,0,117,196,260,259,200000-500000,6.99,0
206690,iBomber Defense Pacific,2012-03-01,1,Cobra Mobile,Cobra Mobile,windows;mac;linux,0,Single-player,Casual;Indie;Strategy,Tower Defense;Strategy;Casual,25,421,84,82,108,200000-500000,2.99,0
207000,Alien Spidy,2013-03-20,1,Enigma SP,Kalypso Media Digital,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Indie;Action;Adventure,25,82,54,0,0,20000-50000,7.99,0
207080,Indie Game: The Movie,2012-06-12,1,BlinkWorks Media,BlinkWorks Media,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Commentary available,Indie,Movie;Documentary;Indie,7,1536,126,218,249,200000-500000,6.99,0
207140,SpeedRunners,2016-04-19,1,DoubleDutch Games,tinyBuild,windows;mac;linux,0,Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,Action;Casual;Indie;Racing;Sports,Multiplayer;Racing;Local Multiplayer,29,20854,1455,421,320,1000000-2000000,10.99,0
207170,Legend of Grimrock,2012-04-11,1,Almost Human Games,Almost Human Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Includes level editor,Adventure;Indie;RPG,Dungeon Crawler;RPG;Indie,40,4420,268,314,362,500000-1000000,10.99,0
207230,ArcheBlade™,2014-04-25,1,CodeBrush Games,Codebrush Games,windows,0,Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Free to Play;Indie,Free to Play;Anime;Action,77,5642,2086,640,101,2000000-5000000,0.0,0
207250,Cubemen,2012-03-16,1,3 Sprockets,3 Sprockets ,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Steam Leaderboards,Indie;Strategy,Strategy;Tower Defense;Indie,44,347,134,70,111,100000-200000,2.79,0
207370,eXceed - Gun Bullet Children,2012-08-02,0,Flat Software,Nyu Media,windows,0,Single-player;Steam Trading Cards,Action;Indie,Bullet Hell;Anime;Shoot 'Em Up,0,204,215,97,108,50000-100000,1.99,0
207420,Wizorb,2012-03-14,1,Tribute Games Inc.,Tribute Games Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Indie;Arcade;Pixel Graphics,20,538,224,504,504,200000-500000,1.99,0
207430,Hack, Slash, Loot,2012-04-05,1,David Williamson,David Williamson,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;RPG,Rogue-like;Indie;RPG,17,337,332,133,139,100000-200000,4.99,0
207530,Noitu Love 2: Devolution,2012-04-23,1,Joakim Sandberg,Joakim Sandberg,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Pixel Graphics,0,469,28,219,219,50000-100000,3.99,0
207570,English Country Tune,2012-08-09,1,increpare games,increpare games,windows;mac;linux,0,Single-player;Steam Cloud,Indie;Casual,Puzzle;Indie;Casual,0,278,61,3,3,200000-500000,3.99,0
207650,A Virus Named TOM,2012-08-01,1,Misfits Attic,Misfits Attic,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Indie;Puzzle;Action,47,379,305,92,97,200000-500000,6.99,0
207670,AVSEQ,2012-08-23,1,Big Robot Ltd,Big Robot Ltd,windows;mac,0,Single-player;Steam Achievements,Indie;Casual,Indie;Casual;Music,13,28,34,0,0,20000-50000,1.59,0
207690,Botanicula,2012-05-07,1,Amanita Design,Amanita Design,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Point & Click;Adventure;Indie,53,3524,136,16,20,200000-500000,7.99,0
207710,Bumbledore,2012-03-15,1,Nimbly Games,Nimbly Games,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Casual;Indie;Strategy,Indie;Casual;Strategy,13,25,15,0,0,0-20000,3.99,0
207750,Symphony,2012-08-06,1,Empty Clip Studios,Empty Clip Studios,windows;mac;linux,0,Single-player;Steam Achievements,Action;Casual;Indie,Music;Indie;Action,31,1159,209,321,321,200000-500000,6.19,0
208400,Avernum: Escape From the Pit,2012-04-11,1,Spiderweb Software,Spiderweb Software,windows;mac,0,Single-player;Steam Achievements;Steam Cloud;Stats,Strategy;RPG;Indie,RPG;Indie;Isometric,35,658,55,0,0,100000-200000,6.99,0
208460,Tryst,2012-09-14,1,BlueGiant Interactive,BlueGiant Interactive,windows,0,Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards,Action;Indie;Strategy,Strategy;Action;Indie,61,10,36,30,30,0-20000,11.99,0
208600,Lunar Flight,2012-04-10,1,Shovsoft,Shovsoft,windows;mac,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support;Stats;Steam Leaderboards,Indie;Simulation,Simulation;VR;Indie,51,465,95,411,476,50000-100000,10.99,0
208710,Colour Bind,2012-09-24,1,Finn Morgan,Puppy Punch Productions,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Indie,Indie;Action;Puzzle,29,23,10,0,0,0-20000,6.99,0
208750,Apotheon,2015-02-03,1,Alientrap,Alientrap,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Adventure;Indie;RPG,Action;Platformer;Mythology,30,2239,240,716,716,200000-500000,10.99,0
209060,Drunken Robot Pornography,2014-02-19,1,Dejobaan Games, LLC,Dejobaan Games, LLC,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Leaderboards;Includes level editor,Action;Indie,FPS;Bullet Hell;Indie,11,524,99,167,167,50000-100000,10.99,0
209080,Guns of Icarus Online,2012-10-29,1,Muse Games,Muse Games,windows;mac;linux,0,Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Stats,Action;Adventure;Indie;Simulation,Steampunk;Team-Based;Multiplayer,849,12932,1276,275,295,2000000-5000000,3.99,0
209190,Stealth Bastard Deluxe,2012-11-28,1,Curve Studios,Curve Digital,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Stealth;Platformer;Indie,27,783,93,373,465,200000-500000,6.99,0
209330,A Valley Without Wind,2012-04-24,1,Arcen Games, LLC,Arcen Games, LLC,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Platformer;Action;Indie,98,272,186,84,84,200000-500000,0.0,0
209360,All Zombies Must Die!: Scorepocalypse ,2012-04-19,1,Doublesix Games,Doublesix Games,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Zombies,16,43,14,0,0,20000-50000,3.99,0
209370,Analogue: A Hate Story,2012-04-27,1,Love Conquers All Games,Love Conquers All Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Indie,Visual Novel;Indie;Anime,14,1881,128,167,167,100000-200000,7.19,0
209520,Mini Motor Racing EVO,2013-05-01,1,The Binary Mill,The Binary Mill,windows,0,Single-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Racing,Racing;Indie;Casual,20,411,224,121,121,50000-100000,3.99,0
209540,Strike Suit Zero,2013-01-23,1,Born Ready Games Ltd.,Born Ready Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Indie;Simulation,Space;Action;Mechs,27,1211,339,57,77,200000-500000,14.99,0
209610,Roller Coaster Rampage,2012-06-19,1,Pantera Entertainment,Pantera Entertainment,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards,Casual;Indie;Simulation,Simulation;Indie;Casual,15,61,49,0,0,20000-50000,6.99,0
209670,Cortex Command,2012-09-28,1,Data Realms,Data Realms, LLC,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Action;Indie;Strategy,Indie;Action;Strategy,11,3119,1454,199,229,1000000-2000000,14.99,0
209690,Fieldrunners,2012-05-24,1,Subatomic Studios LLC,Subatomic Studios LLC,windows;mac,0,Single-player,Strategy;Indie;Casual,Tower Defense;Strategy;Indie,93,124,79,130,130,100000-200000,3.99,0
209790,Splice,2012-06-13,1,Cipher Prime Studios,Cipher Prime Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Indie;Casual,Puzzle;Indie;Casual,16,470,61,21,23,100000-200000,6.99,0
209830,Lone Survivor: The Director's Cut,2012-04-23,1,Jasper Byrne,Superflat Games,windows;mac,16,Single-player;Steam Cloud,Action;Adventure;Indie;RPG;Simulation,Horror;Indie;Survival Horror,0,1019,153,93,128,500000-1000000,11.39,0
209850,Highborn,2013-02-19,1,Jet Set Games,Jet Set Games,windows;mac,0,Single-player;Steam Achievements;Stats,Casual;Indie;Strategy,Casual;Strategy;Indie,111,33,20,0,0,0-20000,1.59,0
209950,Triple Town,2012-12-06,1,Spry Fox LLC,Spry Fox LLC,windows;mac,0,Single-player;Steam Trading Cards,Casual;Indie;Strategy,Casual;Strategy;Puzzle,10,559,50,170,170,50000-100000,6.99,0
210170,Spirits,2012-09-04,1,Spaces of Play,Spaces of Play,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;Strategy,Indie;Lemmings;Strategy,14,152,61,135,210,200000-500000,2.89,0
210770,Sanctum 2,2013-05-15,1,Coffee Stain Studios,Coffee Stain Publishing,windows;mac;linux,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Tower Defense;FPS;Co-op,50,11629,1273,293,203,2000000-5000000,11.39,0
210870,Cloudberry Kingdom™,2013-08-02,1,Pwnee Studios,Ubisoft,windows,7,Single-player;Shared/Split Screen,Indie,Indie;Platformer;Local Co-Op,16,174,17,33,33,20000-50000,8.59,0
210970,The Witness,2016-01-26,1,Thekla, Inc.,Thekla, Inc.,windows;mac,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud,Adventure;Indie,Puzzle;Exploration;First-Person,2,6572,1282,630,674,500000-1000000,29.99,0
211010,Alien Shooter 2 Conscription,2012-05-18,1,Sigma Team Inc.,Sigma Team Inc.,windows,0,Single-player;Steam Trading Cards,Action;Indie;RPG,Action;Indie;RPG,0,200,46,47,47,50000-100000,7.19,0
211180,Unmechanical,2012-08-08,1,Talawa Games,Teotl Studios,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support,Adventure;Casual;Indie,Indie;Adventure;Casual,17,371,28,58,96,50000-100000,6.99,0
211260,They Bleed Pixels,2012-08-29,1,Spooky Squid Games Inc.,Spooky Squid Games Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Platformer;Difficult;Indie,150,1965,327,300,390,200000-500000,6.99,0
211280,Primal Fears,2013-01-08,1,DnS Development,DnS Development,windows,0,Single-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Co-op,29,172,120,0,0,50000-100000,6.99,0
