"15190","Brothers in Arms: Road to Hill 30™","2008-05-13","1","Gearbox Software","Ubisoft","windows","0","Single-player","Action","Action;FPS;World War II","0","624","100","69","69","100000-200000","4.29","1"
"15270","Cold Fear™","2008-05-13","1","Darkworks","Ubisoft","windows","0","Single-player","Action","Horror;Action;Survival Horror","0","272","40","0","0","20000-50000","4.29","1"
"15300","Tom Clancy's Ghost Recon®","2008-07-15","1","Red Storm Entertainment","Ubisoft","windows","0","Single-player;Co-op","Action","Tactical;FPS;Action","0","536","45","476","476","100000-200000","8.59","1"
"15390","Brothers in Arms: Hell's Highway™","2008-10-08","1","Gearbox Software","Ubisoft","windows","0","Single-player","Action","Action;World War II;FPS","0","823","98","346","346","100000-200000","8.59","1"
"15520","AaAaAA!!! - A Reckless Disregard for Gravity","2009-09-03","1","Dejobaan Games, LLC","Dejobaan Games, LLC","windows","0","Single-player;Steam Achievements;Steam Leaderboards","Action;Indie;Sports","Action;Indie;First-Person","7","547","103","151","151","100000-200000","6.99","1"
"15560","AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome","2011-11-23","1","Dejobaan Games, LLC;Owlchemy Labs","Dejobaan Games, LLC","windows;mac;linux","0","Single-player;Steam Achievements;Full controller support;Steam Leaderboards","Action;Indie;Sports","Indie;Action;First-Person","10","747","252","136","136","200000-500000","6.99","1"
"15740","Oddworld: Munch's Oddysee","2010-12-20","1","Oddworld Inhabitants","Oddworld Inhabitants","windows","0","Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Action;Adventure;Strategy","Adventure;Action;Strategy","38","437","155","3","3","200000-500000","3.99","1"
"15750","Oddworld: Stranger's Wrath HD","2010-12-20","1","Oddworld Inhabitants","Oddworld Inhabitants","windows","0","Single-player;Steam Achievements","Action;Adventure;Strategy","Adventure;Action;Singleplayer","36","759","139","98","98","200000-500000","6.99","1"
"16450","F.E.A.R. 2: Project Origin","2009-02-12","1","Monolith","Warner Bros. Interactive Entertainment","windows","0","Single-player;Multi-player","Action","Horror;FPS;Action","0","3274","509","301","367","1000000-2000000","9.99","1"
"16710","Insecticide Part 1","2008-07-01","1","Crackpot Entertainment","Missing Link Games","windows","0","Single-player","Action;Adventure","Adventure;Action;Female Protagonist","0","308","110","264","265","100000-200000","0.79","1"
"16720","Velvet Assassin","2009-05-01","1","Replay Studios","Missing Link Games","windows;mac","0","Single-player;Partial Controller Support","Action","Stealth;Action;Female Protagonist","0","1219","832","9","10","200000-500000","1.69","1"
"16730","Legendary","2008-12-01","1","Spark Unlimited","SouthPeak Games","windows","0","Single-player","Action","Action;FPS;Shooter","0","1095","1000","90","90","200000-500000","1.69","1"
"16900","GROUND BRANCH","2018-08-14","1","BlackFoot Studios","BlackFoot Studios","windows","0","Single-player;Online Multi-Player;Online Co-op;VR Support;Partial Controller Support","Action;Indie;Early Access","Early Access;Indie;Tactical","0","599","143","0","0","20000-50000","15.49","1"
"17080","Tribes: Ascend","2012-06-27","1","Hi-Rez Studios","Hi-Rez Studios","windows","0","Multi-player;Co-op","Action;Free to Play","Free to Play;FPS;Action","0","6470","1738","128","75","2000000-5000000","0.0","1"
"17300","Crysis","2008-09-17","1","Crytek","Electronic Arts","windows","0","Single-player","Action","FPS;Action;Sci-fi","0","6075","1277","313","105","1000000-2000000","9.99","1"
"17330","Crysis Warhead®","2008-09-17","1","Crytek","Electronic Arts","windows","0","Single-player","Action","Action;FPS;Sci-fi","0","1694","312","18","29","500000-1000000","7.99","1"
"17410","Mirror's Edge™","2009-01-14","1","DICE","Electronic Arts","windows","0","Single-player;Full controller support;Partial Controller Support","Action;Adventure","Parkour;First-Person;Action","0","17880","2341","260","172","2000000-5000000","9.99","1"
"17430","Need for Speed Undercover","2008-12-19","1","EA Black Box","Electronic Arts","windows","0","Single-player;Multi-player;Partial Controller Support","Action;Racing","Racing;Open World;Multiplayer","0","2351","1081","916","1046","200000-500000","9.99","1"
"17460","Mass Effect","2008-12-19","1","BioWare","Electronic Arts","windows","0","Single-player","Action;RPG","RPG;Sci-fi;Story Rich","0","10107","666","612","633","1000000-2000000","7.99","1"
"17470","Dead Space","2009-01-09","1","EA Redwood Shores","Electronic Arts","windows","0","Single-player;Full controller support","Action","Horror;Action;Sci-fi","0","9136","1049","295","178","2000000-5000000","14.99","1"
"17500","Zombie Panic! Source","2008-10-03","1","Zombie Panic Team","Zombie Panic Team","windows;linux","0","Multi-player;Co-op;Mods;Mods (require HL2);Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK","Action;Free to Play;Indie","Free to Play;Zombies;Multiplayer","106","5267","914","948","86","500000-1000000","0.0","1"
"17570","Pirates, Vikings, and Knights II","2010-02-12","1","Octoshark Studios","Octoshark Studios","windows;mac;linux","0","Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Mods;Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor;Includes Source SDK","Action;Free to Play;Indie","Free to Play;Multiplayer;Action","247","3839","582","117","197","500000-1000000","0.0","1"
"17710","Nuclear Dawn","2011-09-26","1","GameConnect;InterWave Studios","Iceberg Interactive","windows;mac;linux","0","Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor","Action;Strategy","Strategy;FPS;Action","58","1675","441","971","1184","200000-500000","6.99","1"
"17740","Empires Mod","2008-07-28","1","Empires","Empires","windows;linux","0","Multi-player;Cross-Platform Multiplayer;Steam Cloud;Includes level editor;Includes Source SDK","Action;Free to Play;Strategy","Free to Play;Strategy;Action","8","663","115","701","1378","100000-200000","0.0","1"
"18040","DeathSpank","2010-10-25","1","Hothead Games","Electronic Arts","windows;mac","0","Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action;Indie;RPG","RPG;Action;Indie","12","540","34","1008","1008","100000-200000","7.99","1"
"18050","DeathSpank: Thongs of Virtue","2010-11-30","1","Hothead Games","Electronic Arts","windows;mac","0","Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action;RPG;Indie","Action;RPG;Indie","13","125","18","0","0","50000-100000","7.99","1"
"18070","The Baconing","2011-08-31","1","Hothead Games","Hothead Games","windows;mac","0","Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action;Adventure;RPG","RPG;Action;Adventure","12","149","37","14","14","100000-200000","9.99","1"
"18120","Unstoppable Gorg","2012-01-19","1","Futuremark","Futuremark","windows;mac","0","Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards","Action;Casual;Indie;Strategy","Tower Defense;Strategy;Indie","30","190","48","37","37","50000-100000","6.99","1"
"18700","And Yet It Moves","2009-04-02","1","Broken Rules","Broken Rules","windows;mac;linux","0","Single-player;Steam Achievements;Partial Controller Support","Action;Indie","Platformer;Indie;Puzzle","30","735","327","17","22","200000-500000","6.99","1"
"18820","Zero Gear","2010-01-12","1","Brian Cronin","Brian Cronin","windows","0","Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats","Action;Indie;Racing;Sports","Racing;Indie;Action","45","652","173","373","373","100000-200000","3.99","1"
"19030","Rocket Knight","2010-06-25","1","Climax Studios","Konami Digital Entertainment, Inc.;Konami Digital Entertainment GmbH","windows","0","Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action;Adventure","Action;Adventure;Platformer","16","70","22","0","0","0-20000","11.99","1"
"19080","Biozone","2010-06-25","1","G5 Entertainment","Konami Digital Entertainment, Inc.;Konami Digital Entertainment GmbH","windows","0","Single-player","Action;Adventure;Casual","Action;Adventure;Casual","0","1","13","0","0","0-20000","7.99","1"
"19200","Tank Universal","2008-08-21","1","Dialogue Design","Meridian4","windows","0","Single-player;Steam Achievements","Action;Indie","Action;Indie;Tanks","27","226","190","39","63","100000-200000","3.99","1"
"19320","Space Ark","2012-03-16","1","Strawdog Studios Ltd","Bounce Entertainment ","windows","0","Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards","Action;Indie;Casual","Action;Casual;Indie","11","6","8","0","0","0-20000","3.99","1"
"19800","Brothers in Arms: Earned in Blood™","2008-10-10","1","Gearbox Software","Ubisoft","windows","0","Single-player","Action","Action;FPS;World War II","0","303","53","164","164","100000-200000","4.29","1"
